,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,10.0,0.9973999857902527,"depression, year, experience, feel, time, write, know, emotion, make, take","['black', 'dog', 'light', 'end', 'tunnel', 'black', 'dog', 'light', 'end', 'tunnel', 'write', 'blog', 'first', 'appear', 'website', 'midlife', 'coach', 'stand', 'much', 'write', 'back', 'grateful', 'stigma', 'easily', 'mental', 'health', 'much', 'easily', 'speak', 'still', 'way', 'go', 'get', 'parity', 'understand', 'physical', 'health', 'year', 'later', 'write', 'follow', 'blog', 'see', 'differently', 'find', 'shy', 'away', 'post', 'time', 'know', 'avoid', 'tough', 'subject', 'depression', 'subject', 'well', 'many', 'year', 'however', 'always', 'case', 'intention', 'write', 'depression', 'share', 'experience', 'frankly', 'openly', 'hope', 'inspire', 'support', 'go', 'private', 'hell', 'depression', 'serious', 'illness', 'mental', 'illness', 'sadly', 'carry', 'huge', 'stigma', 'frustrate', 'people', 'fearful', 'society', 'large', 'heart', 'condition', 'diabete', 'break', 'leg', 'dream', 'attend', 'take', 'advice', 'expert', 'repair', 'damage', 'go', 'call', 'weak', 'unable', 'fix', 'break', 'leg', 'often', 'hear', 'people', 'say', 'see', 'professional', 'therapist', 'order', 'gain', 'insight', 'troubled', 'mind', 'take', 'medication', 'depression', 'help', 'begin', 'make', 'sense', 'depression', 'feel', 'sad', 'feeling', 'bit', 'bad', 'mood', 'depression', 'blackness', 'depression', 'suck', 'emotion', 'leave', 'feel', 'hollow', 'numb', 'deep', 'sense', 'hopelessness', 'loneliness', 'depression', 'drain', 'world', 'colour', 'sound', 'taste', 'smell', 'experience', 'black', 'bleak', 'place', 'mind', 'spend', 'teenage', 'year', 'depression', 'suffer', 'chronic', 'post', 'natal', 'depression', 'suffer', 'battle', 'deteriorate', 'marriage', 'day', 'barely', 'get', 'bed', 'go', 'around', 'sort', 'coma', 'panic', 'attack', 'collect', 'child', 'school', 'face', 'especially', 'close', 'time', 'even', 'speak', 'fear', 'open', 'flood', 'gate', 'tear', 'lose', 'huge', 'amount', 'weight', 'develop', 'asthma', 'tonsilliti', 'permanently', 'simple', 'day', 'task', 'become', 'everest', 'still', 'battle', 'spend', 'time', 'get', 'today', 'take', 'medication', 'spend', 'time', 'variety', 'therapist', 'help', 'piece', 'life', 'back', 'together', 'today', 'know', 'trigger', 'know', 'handle', 'say', 'live', 'life', 'perpetual', 'state', 'nirvana', 'realistic', 'yet', 'let', 'blue', 'day', 'affect', 'devastating', 'way', 'use', 'alone', 'brother', 'stand', 'hold', 'hand', 'mumford', 'son', 'thought', 'help', 'bleak', 'period', 'focus', 'today', 'make', 'claim', 'expert', 'simply', 'idea', 'turn', 'give', 'strength', 'take', 'pick', 'create', 'depression', 'lifestyle', 'choice', 'however', 'even', 'write', 'blog', 'bring', 'excruciating', 'memory', 'grateful', 'experience', 'woman', 'today', 'experience', 'experience', 'good', 'bad', 'right', 'ugly', 'blog', 'inspire', 'anyway', 'let', 'know', 'close', 'heart', 'share', 'know', 'silently', 'suffer', 'love', 'rebecca', 'originally_publishe', 'https', 'themidlifecoach', 'com', 'february']"
1,1,10.0,0.991599977016449,"depression, year, experience, feel, time, write, know, emotion, make, take","['flat', 'land', 'up', 'down', 'flat', 'land', 'up', 'down', 'ride', 'lithium', 'train', 'year', 'give', 'stability', 'also', 'rid', 'emotion', 'usually', 'problem', 'situation', 'emotion', 'useful', 'talk', 'feel', 'wedding', 'feel', 'daily', 'basis', 'toll', 'become', 'slightly', 'disconnected', 'world', 'make', 'bad', 'time', 'stress', 'low', 'sleep', 'link', 'emotion', 'really', 'feel', 'stress', 'anxiety', 'dose', 'lithium', 'unusual', 'side', 'effect', 'experience', 'uncommon', 'make', 'right', 'realise', 'allow', 'danger', 'other', 'seem', 'medicate', 'close', 'good', 'option', 'nhs', 'willing', 'look', 'med', 'co', 'operate', 'well', 'past', 'year', 'note', 'year', 'difference', 'first', 'medication', 'always', 'good', 'patient', 'willing', 'give', 'relent', 'come', 'conclusion', 'lithium', 'stable', 'still', 'agree', 'point', 'point', 'really', 'appropriate', 'emotional', 'response']"
2,2,8.0,0.9922999739646912,"anxiety, click, attack, symptom, emotional, physical, control, ansiedad, aqui, controlar","['emotional', 'physical', 'anxiety', 'occur', 'emotional', 'physical', 'anxiety', 'occur', 'result', 'lifestyle', 'live', 'nowadays', 'anxiety', 'symptom', 'show', 'recognize', 'right', 'away', 'symptom', 'anxiety', 'pretty', 'obvious', 'know', 'look', 'controlar', 'ansiedad', 'click', 'aqui', 'control', 'anxiety', 'click', 'tell', 'person', 'already', 'experience', 'anxiety', 'degree', 'confuse', 'diagnose', 'properly', 'really', 'honest', 'fortunately', 'guide', 'help', 'identify', 'common', 'symptom', 'anxiety', 'controlar', 'ansiedad', 'click', 'aqui', 'control', 'anxiety', 'click', 'myth', 'anxiety', 'commonly', 'perpetuated', 'society', 'people', 'think', 'anxiety', 'health', 'condition', 'sick', 'true', 'reality', 'case', 'anxiety', 'emotional', 'physical', 'even', 'panic', 'attack', 'strike', 'make', 'person', 'feel', 'heart', 'attack', 'merely', 'experience', 'effect', 'adrenaline', 'course', 'nervous', 'system', 'body', 'natural', 'response', 'fearful', 'thought', 'subconscious', 'fight', 'flight', 'response', 'important', 'keep', 'safe', 'emergency', 'unfortunately', 'people', 'brain', 'trouble', 'differentiate', 'fantasy', 'imminent', 'danger', 'therefore', 'fearful', 'thought', 'cause', 'body', 'respond', 'actually', 'real', 'situation', 'call', 'adrenal', 'reaction', 'find', 'kind', 'anxiety', 'initial', 'kind', 'emotional', 'nervousness', 'nd', 'physical', 'anxiety', 'feeling', 'typically', 'common', 'psychological', 'anxiety', 'symptom', 'display', 'follow', 'controlar', 'ansiedad', 'click', 'aqui', 'control', 'anxiety', 'click', 'aside', 'struggle', 'relate', 'emotional', 'anxiousness', 'also', 'afflict', 'actual', 'nervousness', 'anxiety', 'also', 'prone', 'physical', 'panic', 'attack', 'bodily', 'sign', 'symptom', 'follow', 'tend', 'perspiration', 'heavily', 'get', 'enough', 'proper', 'sleep', 'feeling', 'associate', 'wooziness', 'dizziness', 'experience', 'nausea', 'frequent', 'urinating', 'fatigue', 'headache', 'heart', 'pound', 'anxiety', 'occur', 'nervousness', 'show', 'forewarn', 'anxiety', 'actually', 'bring', 'simply', 'thought', 'stress', 'exist', 'daily', 'life', 'sometimes', 'anxiety', 'attack', 'feel', 'bad', 'thing', 'world', 'even', 'think', 'heart', 'attack', 'die', 'never', 'case', 'understand', 'symptom', 'anxiety', 'ansiedade', 'sintoma', 'panic', 'attack', 'help', 'manage', 'anxiety', 'also', 'assist', 'love', 'one', 'struggle', 'thing', 'many', 'option', 'manage', 'overcome', 'anxiety', 'visit', 'site', 'http', 'www', 'whitedischarge', 'net', 'learn', 'take', 'back', 'control', 'life', 'let', 'anxiety', 'win', 'controlar', 'ansiedad', 'click', 'aqui', 'control', 'anxiety', 'click', 'originally_publishe', 'https', 'ezinearticle', 'com', 'july']"
3,3,28.0,0.3792000114917755,"work, faith, keep, take, way, thing, life, control, time, pull","['deal', 'anxiety']"
4,4,29.0,0.9955000281333923,"baseball, well, twin, feel, game, non, post, time, positive, thank","['feel', 'age', 'age', 'staypositive', 'well', 'feel', 'ramble', 'point', 'offer', 'speculation', 'hope', 'try', 'remain', 'positive', 'point', 'negative', 'twin', 'team', 'go', 'ahead', 'show', 'stick', 'good', 'time', 'bad', 'childhood', 'memory', 'make', 'bad', 'baseball', 'go', 'twin', 'game', 'metrodome', 'contraction', 'talk', 'try', 'tell', 'worst', 'thankful', 'maybe', 'maybe', 'positive', 'vibe', 'stand', 'flow', 'limestone', 'wall', 'player', 'wave', 'propel', 'new', 'height', 'well', 'guess', 'put', 'finish', 'touch', 'post', 'first', 'thank', 'section', 'couple', 'sorry', 'sorry', 'long', 'wind', 'fluff', 'post', 'really', 'new', 'news', 'lack', 'attendance', 'twin', 'game', 'way', 'game', 'package', 'split', 'plenty', 'game', 'september', 'also', 'previous', 'post', 'non', 'baseball', 'however', 'feel', 'mental', 'health', 'important', 'mainly', 'well', 'important', 'affect', 'always', 'bring', 'non', 'baseball', 'stuff', 'dead', 'period', 'open', 'platform', 'think', 'well', 'time', 'tell', 'think', 'non', 'baseball', 'banter', 'read', 'skip', 'hate', 'say', 'early', 'baseball', 'story', 'probably', 'focus', 'time', 'drift', 'also', 'cover', 'non', 'baseball', 'stuff', 'turn', 'part', 'baseball', 'story', 'thank', 'part', 'show', 'thank', 'dear', 'reader', 'feel', 'free', 'introduce', 'let', 'know', 'enjoy', 'aspect', 'hear', 'less', 'expect', 'actually', 'regular', 'reader', 'happen', 'blog', 'want', 'hear', 'know', 'goal', 'get', 'well', 'whole', 'blogging', 'thing', 'provide', 'good', 'insight', 'ballhawk', 'twin', 'fan', 'well', 'make', 'bit', 'personal', 'humorous', 'stay', 'positive', 'twin', 'fan']"
5,5,7.0,0.994700014591217,"thank, anxiety, know, time, get, talk, still, mental, medication, help","['still', 'anxiously', 'wait', 'still', 'anxiously', 'wait', 'write', 'anxiety', 'specifically', 'today', 'importantly', 'moment', 'feel', 'edge', 'talk', 'great', 'way', 'minimize', 'anxiety', 'worry', 'stress', 'large', 'attack', 'also', 'see', 'doctor', 'therapist', 'recently', 'start', 'medication', 'concerned', 'medication', 'know', 'soon', 'get', 'control', 'well', 'life', 'long', 'live', 'stress', 'anxiety', 'depression', 'show', 'contributing', 'factor', 'heart', 'problem', 'long', 'story', 'make', 'short', 'talk', 'problem', 'public', 'open', 'know', 'people', 'face', 'similar', 'issue', 'possibly', 'help', 'time', 'take', 'sanity', 'keep', 'bottled', 'thing', 'bad', 'baseball', 'life', 'similar', 'mental', 'stay', 'game', 'keep', 'mind', 'health', 'know', 'get', 'ball', 'still', 'thank', 'attach', 'post', 'thank', 'wife', 'support', 'struggle', 'battle', 'tough', 'time', 'always', 'listen', 'thank', 'grandma', 'sit', 'last', 'week', 'talk', 'anxiety', 'medication', 'bring', 'health', 'expect', 'thank', 'parent', 'rest', 'family', 'take', 'phone', 'call', 'random', 'time', 'get', 'episode', 'thank', 'season', 'ticket', 'holder', 'buddy', 'jar', 'fiancee', 'megan', 'understand', 'thing', 'anxiety', 'learn', 'life', 'thank', 'mlb', 'good', 'distraction', 'implement', 'rule', 'hopefully', 'decrease', 'mental', 'injury', 'help', 'player', 'suffer', 'mental', 'illness', 'injury', 'look', 'article', 'player', 'anxiety', 'help', 'know', 'affect']"
6,6,38.0,0.6290000081062317,"feel, know, live, amy, inspiration, story, deserve, loss, com, overcome","['ask', 'anxietyask', 'amy', 'anxiety']"
7,7,32.0,0.9955000281333923,"time, plot, spend, go, word, point, much, passage, write, count","['get', 'writer', 'anxietythis', 'get', 'writer', 'anxiety', 'much', 'used', 'believe', 'keep', 'iron', 'grip', 'word', 'write', 'lose', 'word', 'count', 'also', 'believe', 'write', 'passage', 'even', 'sentence', 'seem', 'especially', 'eloquent', 'pithy', 'cost', 'keep', 'manuscript', 'eloquent', 'pithy', 'anxiety', 'even', 'destructive', 'word', 'count', 'anxiety', 'literally', 'keep', 'stuck', 'month', 'case', 'spend', 'much', 'time', 'realize', 'time', 'spend', 'procrastinate', 'particular', 'passage', 'massage', 'prose', 'think', 'perfect', 'really', 'overwork', 'old', 'dog', 'work', 'bone', 'actually', 'start', 'get', 'little', 'small', 'waste', 'time', 'overwork', 'passage', 'also', 'spend', 'much', 'time', 'tinker', 'part', 'book', 'refuse', 'give', 'spend', 'much', 'time', 'pitch', 'waste', 'time', 'trouble', 'pivotal', 'point', 'plot', 'need', 'drastic', 'revision', 'order', 'make', 'sense', 'revision', 'mean', 'point', 'go', 'away', 'possible', 'month', 'fallowness', 'result', 'factor', 'include', 'crazy', 'hour', 'day', 'job', 'convince', 'part', 'blockage', 'love', 'passage', 'decide', 'go', 'reshape', 'plot', 'go', 'new', 'plot', 'come', 'together', 'really', 'quickly', 'moral', 'story', 'sometimes', 'let', 'go', 'word', 'count', 'allow', 'new', 'word', 'count', 'grow', 'sometimes', 'let', 'go', 'plot', 'point', 'let', 'new', 'plot', 'point', 'develop', 'take', 'loss', 'time', 'spend', 'perfect', 'part', 'later', 'scrap', 'moral', 'develop', 'skill', 'write', 'well', 'write', 'well', 'today', 'tomorrow', 'day', 'reason', 'hang', 'good', 'writing', 'fear', 'last', 'hoard', 'know', 'hoarding', 'never', 'healthy', 'originally_publishe', 'com', 'september']"
8,8,28.0,0.9753000140190125,"work, faith, keep, take, way, thing, life, control, time, pull","['thing', 'work', 'keep', 'faith', 'tough', 'timesthing', 'work', 'keep', 'faith', 'tough', 'time', 'stop', 'focus', 'way', 'work', 'try', 'control', 'way', 'work', 'keep', 'open', 'mind', 'pull', 'get', 'bearing', 'believe', 'take', 'action', 'originally_publishe', 'stronginsideout', 'com', 'october', 'get', 'close', 'birthday', 'start', 'reflect', 'much', 'grown', 'last', 'year', 'major', 'change', 'overcome', 'much', 'anxiety', 'adopt', 'faith', 'fact', 'work', 'darkest', 'time', 'use', 'panic', 'littlest', 'thing', 'go', 'wrong', 'remember', 'day', 'old', 'volvo', 'turbo', 'suddenly', 'lose', 'power', 'drive', 'busy', 'street', 'freak', 'call', 'mom', 'sob', 'danger', 'pull', 'side', 'road', 'figure', 'simple', 'attachment', 'idea', 'thing', 'go', 'certain', 'way', 'shatter', 'go', 'way', 'unexpected', 'threaten', 'shove', 'wall', 'enough', 'knock', 'hold', 'faith', 'thing', 'work', 'ask', 'key', 'handle', 'life', 'much', 'love', 'control', 'situation', 'throw', 'truth', 'control', 'react', 'situation', 'old', 'news', 'right', 'say', 'time', 'want', 'talk', 'today', 'belief', 'work', 'way', 'keep', 'faith', 'even', 'darkest', 'time', 'find', 'light', 'fast', 'today', 'post', 'actively', 'keep', 'faith', 'life', 'today', 'post', 'give', 'crumbling', 'let', 'challenge', 'face', 'overcome', 'today', 'day', 'stand', 'strong', 'allow', 'challenge', 'come', 'way', 'know', 'come', 'strong', 'side', 'addition', 'keep', 'faith', 'list', 'thing', 'remember', 'make', 'life', 'flow', 'much', 'easy', 'belief', 'remembering', 'tip', 'list', 'ensure', 'stay', 'strong', 'even', 'tough', 'situation', 'focus', 'worst', 'possible', 'outcome', 'likely', 'fulfill', 'fear', 'remember', 'talk', 'self', 'fulfil', 'prophecy', 'real', 'deal', 'pull', 'post', 'read', 'avoid', 'faith', 'require', 'effort', 'take', 'action', 'talk', 'sec', 'know', 'pre', 'disposed', 'eeyore', 'type', 'thinking', 'require', 'bit', 'effort', 'part', 'stay', 'positive', 'notice', 'start', 'drift', 'woe', 'worry', 'wart', 'mindframe', 'stop', 'redirect', 'thought', 'positive', 'direction', 'well', 'possible', 'scenario', 'take', 'action', 'create', 'outcome', 'luck', 'create', 'action', 'interpretation', 'life', 'deal', 'make', 'lucky', 'person', 'know', 'apply', 'pessimistic', 'optimistic', 'idea', 'future', 'hold', 'control', 'thing', 'add', 'outcome', 'work', 'much', 'work', 'put', 'life', 'reach', 'certain', 'point', 'give', 'control', 'drive', 'mad', 'much', 'frustration', 'anxiety', 'worry', 'depression', 'come', 'fact', 'try', 'control', 'thing', 'simply', 'control', 'faith', 'work', 'force', 'happen', 'way', 'see', 'happen', 'often', 'time', 'life', 'throw', 'unexpected', 'keep', 'open', 'mind', 'unexpected', 'event', 'seem', 'possibility', 'obstacle', 'start', 'view', 'unexpected', 'opportunity', 'accomplish', 'goal', 'new', 'way', 'thing', 'work', 'way', 'never', 'plan', 'keep', 'door', 'open', 'allow', 'unexpected', 'open', 'door', 'never', 'see', 'car', 'lose', 'power', 'take', 'time', 'pull', 'keep', 'freak', 'take', 'second', 'pull', 'take', 'breath', 'realize', 'danger', 'work', 'affect', 'take', 'time', 'pull', 'ground', 'take', 'deep', 'breath', 'take', 'time', 'close', 'eye', 'ask', 'opportunity', 'situation', 'event', 'strengthen', 'let', 'pull', 'st', 'category', 'stop', 'focus', 'way', 'work', 'want', 'encourage', 'instead', 'focus', 'positive', 'taking', 'action', 'align', 'positive', 'mindframe', 'action', 'key', 'realization', 'try', 'create', 'life', 'want', 'thing', 'likely', 'work', 'favor', 'exert', 'effort', 'work', 'allow', 'happen', 'make', 'space', 'opportunity', 'life', 'reach', 'point', 'control', 'outcome', 'reach', 'point', 'take', 'work', 'break', 'goal', 'mini', 'goal', 'make', 'plan', 'action', 'add', 'faith', 'fact', 'work', 'major', 'force', 'reckon', 'today', 'guy', 'later', 'week', 'keep', 'faith', 'stay', 'strong', 'amy', 'amy', 'clover', 'writer', 'coach', 'teacher', 'force', 'strong', 'inside', 'post', 'originally_published', 'stronginsideout', 'com', 'site', 'devote', 'build', 'individual', 'health', 'mind', 'body', 'spirit', 'scale', 'judgment', 'join', 'email', 'list', 'get', 'weekly', 'inspiration', 'goody', 'click']"
9,9,0.0,0.9926999807357788,"death, suddenly, person, body, call, lose, close, live, announce, die","['hairball', 'hack', 'old', 'cat', 'really', 'begin', 'stage', 'death', 'rattle', 'ache', 'pain', 'suddenly', 'escalate', 'become', 'permanent', 'let', 'leave', 'argument', 'problem', 'resolve', 'suddenly', 'die', 'stuck', 'guilt', 'bad', 'parting', 'elderly', 'person', 'live', 'alone', 'essentially', 'eleanor', 'rigby', 'weird', 'garbage', 'bag', 'side', 'road', 'contain', 'whole', 'body', 'child', 'assorted', 'body', 'part', 'adult', 'phone', 'call', 'mother', 'usual', 'hour', 'announce', 'death', 'close', 'relative', 'phone', 'call', 'close', 'relative', 'announce', 'death', 'mother', 'bug', 'float', 'drink', 'widow', 'bug', 'probably', 'drink', 'person', 'life', 'know', 'embarrassing', 'message', 'board', 'use', 'frequent', 'waiting', 'bring', 'front', 'large', 'group', 'people', 'afraid', 'lose', 'vision', 'probably', 'lose', 'sense', 'pay', 'attention', 'descendent', 'disappoint', 'well', 'story', 'poop', 'pant', 'die', 'ashley', 'spurgeon', 'writer', 'live', 'nashville', 'twitter', 'account', 'grandma', 'follow', 'illustration', 'ana', 'maria', 'correa']"
10,10,38.0,0.9952999949455261,"feel, know, live, amy, inspiration, story, deserve, loss, com, overcome","['write', 'story', 'inspiration', 'overcome', 'fearwrite', 'story', 'inspiration', 'overcome', 'fear', 'version', 'post', 'originally_published', 'stronginsideout', 'com', 'december', 'ever', 'believe', 'deeply', 'fight', 'unbelievably', 'risky', 'feel', 'effort', 'dream', 'life', 'see', 'reality', 'already', 'live', 'mind', 'devastating', 'loss', 'fall', 'apart', 'many', 'get', 'point', 'turn', 'back', 'imminent', 'depth', 'emotion', 'scare', 'death', 'retreat', 'comfort', 'certainty', 'threat', 'devastating', 'loss', 'break', 'ever', 'chance', 'become', 'experience', 'save', 'overwhelming', 'pain', 'process', 'deprive', 'breathtaking', 'beauty', 'staggering', 'amount', 'joy', 'realization', 'full', 'potential', 'know', 'tell', 'process', 'difficult', 'complete', 'worth', 'work', 'take', 'take', 'exhaust', 'repair', 'know', 'feel', 'break', 'know', 'feeling', 'way', 'sustain', 'push', 'fall', 'apart', 'choose', 'stop', 'try', 'know', 'stop', 'try', 'look', 'back', 'feel', 'loss', 'bad', 'knowing', 'give', 'regret', 'feel', 'trump', 'fear', 'knowledge', 'overwhelm', 'right', 'feel', 'terror', 'panic', 'drive', 'give', 'remember', 'start', 'deserve', 'live', 'adventure', 'epic', 'proportion', 'deserve', 'live', 'breathe', 'grammy', 'nominate', 'soundtrack', 'deserve', 'experience', 'iota', 'life', 'hypercolor', 'write', 'story', 'moving', 'want', 'stay', 'strong', 'guy', 'amy', 'amy', 'clover', 'writer', 'coach', 'teacher', 'force', 'strong', 'inside', 'post', 'originally_published', 'stronginsideout', 'com', 'site', 'devote', 'build', 'individual', 'health', 'mind', 'body', 'spirit', 'scale', 'judgment', 'join', 'email', 'list', 'get', 'weekly', 'inspiration', 'goody', 'click']"
