source1_label,NYT_2008_Topic0_card,NYT_2008_Topic1_user,NYT_2008_Topic2_google,NYT_2008_Topic3_software,NYT_2008_Topic4_write,NYT_2008_Topic5_myspace,NYT_2008_Topic6_flaw,NYT_2008_Topic7_game,NYT_2008_Topic8_griffith,NYT_2008_Topic9_army,NYT_2008_Topic0_program,NYT_2008_Topic1_attack,NYT_2008_Topic2_city,NYT_2008_Topic3_ad,NYT_2008_Topic4_card,NYT_2008_Topic5_child,NYT_2008_Topic6_mail,NYT_2008_Topic7_osd,NYT_2008_Topic8_google,NYT_2008_Topic9_griffith,NYT_2008_Topic10_al,NYT_2008_Topic11_government,NYT_2008_Topic12_mail,NYT_2008_Topic13_army,NYT_2008_Topic14_liechtenstein,NYT_2008_Topic0_government,NYT_2008_Topic1_privacy,NYT_2008_Topic2_card,NYT_2008_Topic3_google,NYT_2008_Topic4_user
Academic_2008_Topic2_attack,0.0,0.03955427644388665,0.0,0.14954803669627212,0.0,0.0,0.0,0.09337928671002976,0.06102089377489433,0.0,0.06484916922729762,0.09337928671002976,0.0,0.0,0.07191800264156778,0.0,0.0,0.1535884809044716,0.0,0.0,0.08576848377558681,0.0,0.14495103662433872,0.0,0.0,0.08906171677163047,0.0,0.0,0.0,0.15742883444361294
Academic_2008_Topic5_kernel,0.0,0.09006335598336315,0.11979293088795206,0.16196537468273411,0.0,0.027391241528110285,0.050564090100309766,0.0,0.0,0.0,0.2776312246727659,0.12235772600794571,0.0,0.08678456205192953,0.031146666629920595,0.025907141295492035,0.05839942482479587,0.030603150443277653,0.11979293088795206,0.0,0.11469685004303677,0.0860925302276049,0.15848037398881215,0.0,0.0,0.030801180613312377,0.11938092267093348,0.0,0.12480124218070829,0.1437841764659937
Academic_2008_Topic14_attack,0.02961976838259504,0.22489301944652446,0.12342421341960906,0.22591434587223497,0.0,0.028221552099394823,0.0,0.13369379482232602,0.06370588614030323,0.0,0.11345970570102853,0.18558689211092352,0.0,0.11811574733782003,0.06697133842638264,0.026692464343639873,0.060169686305612716,0.061811686275273246,0.12342421341960906,0.0,0.20340404668865159,0.08870225267787257,0.16336248081559407,0.0,0.0,0.08850296358033159,0.12299971599951087,0.0,0.1285843416282357,0.21029324149993156
Academic_2008_Topic3_attack,0.0,0.1325826039772862,0.12387552199413229,0.25705010068863166,0.0,0.028324746019744225,0.03061928866911176,0.09313275125906888,0.031860957315672414,0.040838428870403606,0.14291699033185323,0.18626550251813775,0.0,0.08974221471607839,0.07172812822896381,0.059515359421254244,0.060389700633464063,0.0625597371697769,0.12387552199413229,0.0,0.2041478066675078,0.08902659816976526,0.16445249610654633,0.04268861607362176,0.0,0.08882658035882163,0.12344947237191552,0.0,0.1290545185434327,0.2429691193316096
Academic_2008_Topic11_user,0.03189672852986882,0.19288882121105097,0.09257406747176511,0.14312099416874613,0.0,0.029331931017762432,0.0,0.0,0.0,0.0,0.11109621489473093,0.09644441060552549,0.0,0.09293331172672617,0.06307011900234341,0.0,0.028425288180000275,0.032771406027989364,0.09257406747176511,0.0,0.08858378723702084,0.09219224894166202,0.14008764125044945,0.0,0.0,0.0,0.09225567408912988,0.0,0.09644441060552549,0.12205387197471024
Academic_2008_Topic3_policy,0.0,0.13278384331033294,0.070087953118075,0.08129668486320092,0.0,0.0,0.0,0.0,0.0,0.0,0.07789760434473114,0.0,0.027814985879189708,0.058000328585607025,0.08638877231256753,0.1113739116628636,0.03279671177251376,0.0,0.070087953118075,0.0,0.032919433482202824,0.0,0.0,0.0,0.0,0.0,0.06984689705254078,0.0,0.0730181951990184,0.08558081152303398
Academic_2008_Topic6_device,0.0,0.1356621503829956,0.19197393999411586,0.11585279290734399,0.0,0.06218063976254618,0.0,0.0,0.12614855955227774,0.0,0.08400808129544739,0.09999999999999998,0.0,0.127980036211355,0.0,0.05368367872921791,0.12117378648539517,0.12595108232722754,0.2241709090538027,0.0,0.091849581205223,0.09559107506887508,0.26191202643123296,0.0,0.03200859431489435,0.0,0.1913136769874031,0.0,0.19999999999999996,0.09229397787306513
Academic_2008_Topic9_protocol,0.0,0.13738756564137158,0.035519987797105614,0.08411530612173325,0.0,0.03235975025503165,0.0,0.09594121840779168,0.0,0.04206993319447256,0.0,0.09594121840779168,0.0,0.0,0.0,0.02759793563334974,0.033933800070364006,0.0,0.035519987797105614,0.0,0.12218238395088733,0.0,0.0,0.043975913766929546,0.03260550710740346,0.09150519265684333,0.03539782260144397,0.0,0.07120274748125113,0.08854796688843636
Academic_2008_Topic4_security,0.0,0.0906904710453183,0.15011314383120505,0.13458229767951121,0.0,0.027581967933321103,0.0,0.0,0.02823837445568795,0.0,0.10446813866036335,0.0906904710453183,0.0,0.11606569768404679,0.03136354222332983,0.07477351749390998,0.058806062557947986,0.08969859668768994,0.15011314383120505,0.0,0.11549548919472556,0.08669199625724665,0.187300866509073,0.0,0.0,0.0,0.14959685419472554,0.0,0.12567023865399862,0.11477205441760743
Academic_2008_Topic7_attack,0.0,0.04319973587989806,0.03702265656678478,0.17534758786199026,0.0,0.0,0.024692546074180265,0.09999999999999998,0.0,0.0,0.08400808129544739,0.14066983461380003,0.02999686081011988,0.0,0.09316531706586355,0.028765462948413447,0.035369365360913674,0.0,0.03702265656678478,0.0,0.12735129486427754,0.0,0.0,0.0,0.0,0.09537630871843492,0.036895323187358234,0.0,0.03857050240039825,0.18458795574613027
Academic_2008_Topic0_query,0.0,0.12864612818801066,0.12351341663658955,0.08051572488776985,0.0,0.0,0.0,0.09183556599722473,0.03120614132816512,0.0,0.0,0.09183556599722473,0.0,0.06390468897322185,0.0,0.0,0.08421372511986269,0.030278273084377822,0.12351341663658955,0.0,0.08435058276589712,0.0,0.02857549531964686,0.0,0.0,0.08758937293883513,0.08784699904574196,0.0,0.09183556599722473,0.08475869696108274
Academic_2008_Topic6_approach,0.02962117313322209,0.1700825405320065,0.12343006695090462,0.18886829043137424,0.0,0.028222890538051597,0.0,0.1337001353999998,0.06112062338024895,0.08575458799722321,0.0779576906544095,0.18559569377674676,0.0,0.08941950267828297,0.027596659868194755,0.026693730263600488,0.11647222812057849,0.030595538005540903,0.12343006695090462,0.03299836118213625,0.20341369335294823,0.17741291896272954,0.13390683045327853,0.0,0.0,0.08850716093231556,0.12300554939854173,0.0,0.12859043988437996,0.17129364854767237
Academic_2008_Topic12_role,0.0,0.09999999999999998,0.13300962370320807,0.11585279290734399,0.0,0.03041330320088238,0.0,0.04269427061080932,0.0,0.04384969660866422,0.08400808129544739,0.19999999999999996,0.0,0.1298318921722245,0.0,0.028765462948413447,0.06484260350634016,0.0,0.13300962370320807,0.033082920312881466,0.12735129486427754,0.09559107506887508,0.11318356106105172,0.04583630945774827,0.0,0.0,0.13255215883026383,0.0,0.138570499420166,0.09229397787306513
Academic_2008_Topic3_signature,0.0,0.029830953478813167,0.03702265656678478,0.03143753802061918,0.03415092229843139,0.0,0.03145025423369428,0.0,0.034443171774642914,0.0,0.1575023438275872,0.03585739433765411,0.031218259524953645,0.06255001498402181,0.0,0.08244914447135844,0.035369365360913674,0.03341905524037093,0.03702265656678478,0.0,0.03550171365905453,0.0,0.06225286901095722,0.0,0.0,0.03419945912186759,0.036895323187358234,0.0,0.03857050240039825,0.0330942155958522
Academic_2008_Topic2_data,0.0,0.1642264711314598,0.03412990448770539,0.1129368005835408,0.0,0.029851236695966447,0.0,0.08850389749670834,0.030277414360597332,0.0,0.03386439936461794,0.08850389749670834,0.0,0.027373754839340222,0.03755576196239868,0.03333163838169492,0.0,0.029377160433213114,0.03412990448770539,0.0,0.08129045920102648,0.0,0.027725059091858247,0.0,0.03007794258559753,0.08441175050430776,0.034012520256509415,0.0,0.06710355394925854,0.11888828014350508
Academic_2008_Topic1_attack,0.02889595182467794,0.24941683576777807,0.12040810309197049,0.21169764207887987,0.0,0.02753190367150011,0.0,0.13042672733100713,0.0,0.0,0.10235462918824195,0.18105171601814907,0.02826059729046392,0.0872302264990428,0.05609402119709474,0.026040182144333703,0.05869932317953669,0.0,0.12040810309197049,0.0,0.19843347382532353,0.08653464088619771,0.10246038977574186,0.0,0.0,0.08634022180474697,0.1199939790906476,0.0,0.12544213354756495,0.19600001031005107
Academic_2008_Topic8_dns,0.0,0.09999999999999998,0.13449409855036132,0.08767379393099513,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.09999999999999998,0.0,0.038656559869066194,0.0,0.0,0.09170055653863733,0.0,0.13449409855036132,0.033082920312881466,0.091849581205223,0.0,0.0,0.0,0.0,0.09537630871843492,0.09565683849370155,0.0,0.09999999999999998,0.09229397787306513
Academic_2008_Topic8_protocol,0.039877870144632545,0.09675187355792052,0.12868930294519376,0.11208974770703298,0.0,0.02942544065770472,0.0,0.0,0.0,0.0,0.08127939259340634,0.09675187355792052,0.0,0.09322958136246709,0.0,0.027831124340199458,0.06273643375611798,0.0,0.12868930294519376,0.0,0.12321476378146035,0.09248615608329493,0.10950721588614054,0.0,0.0,0.038034040539481326,0.12824669710975087,0.0,0.134069554387578,0.08929615277332313
Academic_2008_Topic4_network,0.0,0.031554987394242305,0.0680943003973168,0.11520643181057166,0.0,0.0,0.0,0.09763221711821252,0.0,0.0,0.028370607308178166,0.09763221711821252,0.030479078919929806,0.03087187397625974,0.031463123362165925,0.0804969277423854,0.06505346760851496,0.0,0.0680943003973168,0.0,0.12433589270474651,0.0,0.0,0.0,0.0,0.09311800480731906,0.06786010117464256,0.0,0.07094119170487821,0.1212775151116242
Academic_2008_Topic13_security,0.028963004321609045,0.12006200816484404,0.12068750776470945,0.16216690325974734,0.0,0.027595790921092773,0.0,0.03999346122105828,0.028252526408359943,0.03978742629741516,0.1308871283632947,0.09073592151046629,0.0,0.11549674718609818,0.08760344667365734,0.02610060788299469,0.05883553382285568,0.08974355006477121,0.12068750776470945,0.0,0.11555337095061335,0.08673544284550541,0.18739473427056255,0.04158999777287691,0.0,0.0,0.12027242279665681,0.0,0.12573321959054298,0.14379680553048899
Academic_2008_Topic0_protocol,0.09686741412467839,0.0,0.0,0.1164524527426127,0.0,0.03267214426652254,0.0,0.09686741412467839,0.030161694840464416,0.0,0.0302070249677766,0.19373482824935678,0.03529660852122888,0.0,0.12374655180773993,0.09080537945181898,0.0,0.09580798303944317,0.0,0.0,0.08897231419784614,0.0,0.0904199708913046,0.0,0.0329202736022528,0.1847771278862362,0.0,0.09686741412467839,0.03452787796125981,0.1225891981491084
Academic_2008_Topic9_browser,0.025947967105735385,0.2032315685900384,0.05652568244590516,0.024652626683273098,0.0,0.0,0.0,0.03583015783463694,0.0,0.0,0.023621880309921874,0.0,0.0,0.0,0.05037127088534176,0.02338354499648187,0.028751880263395813,0.05432526795681312,0.05652568244590516,0.0,0.028859466655811416,0.0,0.0,0.0,0.0,0.0,0.056331271594883575,0.0,0.03135409570963882,0.02595175684321064
Academic_2008_Topic0_kernel,0.0,0.09220734568971319,0.08850703724226848,0.1358125118340788,0.0,0.02804329961809823,0.05176778595976725,0.0,0.0,0.0,0.2554864986390478,0.12527049449396452,0.0,0.11736970668885022,0.0,0.0,0.027176488062780904,0.0,0.08850703724226848,0.0,0.08469206085645381,0.0881419930372709,0.13268341090681504,0.0,0.0,0.0315344134965126,0.08820263174573802,0.0,0.09220734568971319,0.11561712246973889
Academic_2008_Topic4_kernel,0.0,0.0,0.023706633650786325,0.12470268387753136,0.0,0.0,0.04432245183902263,0.0,0.0,0.0,0.25820672283402046,0.025727736922805507,0.026430531495574568,0.0,0.10854422044717213,0.0,0.022647985445329987,0.0,0.023706633650786325,0.0,0.0,0.0,0.02203678566718496,0.0,0.0,0.02453816579376175,0.023625098556940848,0.0,0.024697762260349452,0.13127419529219045
Academic_2008_Topic10_policy,0.0,0.1181389887547341,0.07236178206678671,0.2060978022462094,0.0,0.0,0.0,0.09573459686519738,0.032751055489280895,0.0,0.11705588753800328,0.09573459686519738,0.028717373768782653,0.0,0.1298154738060318,0.06359330721985218,0.03386071934204947,0.06391767997106512,0.07236178206678671,0.0,0.12191924874092494,0.0,0.02999017478661369,0.0,0.0,0.09130812465649979,0.07211290553802466,0.0,0.07538708854858597,0.21695862751382936
Academic_2008_Topic2_web,0.0,0.22546386558436102,0.12293901102432825,0.14197549562859754,0.027520107407285666,0.02909716682851309,0.0,0.0,0.0,0.0,0.11020703331297149,0.09567249777613399,0.0,0.09218950070492302,0.058725674960992416,0.0,0.02819778049461415,0.032509113287628594,0.1537426555319397,0.0,0.08787478853595537,0.0914543691694521,0.13896642077907648,0.0,0.0,0.0,0.1225161823786084,0.0,0.09567249777613399,0.12107698851342245
Academic_2008_Topic5_vulnerability,0.09291968378996325,0.1330607362292191,0.06461220371427534,0.11170655460547152,0.0,0.0,0.030549238399423126,0.09291968378996325,0.0,0.0,0.028975969200836203,0.1858393675799265,0.0,0.0,0.1187033902781151,0.14648390224103208,0.032865102451877785,0.03157371864636401,0.06461220371427534,0.0,0.1183344204903104,0.0,0.029798088117136797,0.0,0.0,0.17724672894341778,0.06438998059432462,0.09291968378996325,0.03583958886665024,0.11759320335958352
